,gene,Nmean,NSD,Cmean,CSD,methelation
10943,PGF---Cluster2,0.19828121466555498,0.07323769300400361,0.15937952173243475,0.11424891583533273,Down
10944,PGGT1B---Cluster1,0.005540205177189481,0.0006318714739257304,0.009774927791935771,0.0030650906221315194,Up
10945,PGGT1B---Cluster2,0.5392881666283457,0.08917965684611008,0.6774745008358749,0.22681269725750125,Up
10946,PGK1---Cluster1,0.5840893689656267,0.046139486623225735,0.4058236749490888,0.18029242630619108,Down
10947,PGK2---Cluster1,0.94120638011207,0.020618578143709845,0.8137755405999241,0.20116379096791231,Down
10948,PGLYRP2---Cluster1,0.36440911397711373,0.10283204827057764,0.19169445393178247,0.08381805384027384,Down
10949,PGLYRP2---Cluster2,0.8374710873508908,0.014705071277805794,0.7805368386717015,0.08476615081988477,Down
10950,PGLYRP3,0.803981931734375,0.06037760279558167,0.6914707396320555,0.26269987088187835,Down
10951,PGM1---Cluster1,0.011280107982339676,0.0006215231221175563,0.018248711935655818,0.01730655074010965,Up
10952,PGM2---Cluster1,0.006673993060267214,0.0005767290288866758,0.012428567304267151,0.0046236201790846145,Up
10953,PGM2L1---Cluster1,0.014515437232725725,0.0013426412555521798,0.020890609714678945,0.009686484573165243,Up
10954,PGM3---Cluster1,0.012955910793544391,0.004493800094400637,0.022772002433602112,0.020203927471317232,Up
10955,PGM3---Cluster2,0.014143843648360325,0.002607350750446373,0.023679224089276137,0.010176190791611807,Up
10956,PGM3---Cluster3,0.00797013729548576,0.0007004149144292321,0.012876202992957752,0.0031620889129617144,Up
10957,PGPEP1---Cluster1,0.43466836199443604,0.05565635335821767,0.208437542718276,0.141584419357612,Down
10958,PGPEP1---Cluster2,0.05333161655024075,0.011532532987506963,0.0577084010025655,0.03167687698495589,Up
10959,PGR,0.018062937409778712,0.0019309717890632488,0.027883599469564563,0.02273158956675337,Up
10960,PGRMC1---Cluster1,0.5966854567647384,0.022523495023274845,0.5310938245960197,0.1711434747013453,Down
10961,PGRMC1---Cluster2,0.6545546154695779,0.08042155004029641,0.465166593396894,0.1849423540895492,Down
10962,PGRMC2,0.014096499524901553,0.0019307464133906675,0.0178022833258588,0.005296678833055243,Up
10963,PHACTR2---Cluster1,0.4894086195233924,0.04547624856243552,0.4372552031688333,0.23704887204726624,Down
10964,PHACTR3---Cluster1,0.026581003480594608,0.005975623797718168,0.047931309005989804,0.06251634802059132,Up
10965,PHACTR3---Cluster2,0.11943882564376553,0.05062048818462341,0.2271036506525467,0.16400589585481035,Up
10966,PHACTR4,0.07961007247965299,0.0309742649132862,0.11420478783333207,0.05614617155307024,Up
10967,PHB---Cluster1,0.03144705742638526,0.0037792368800594594,0.031783951491319816,0.009210205189555952,Up
10968,PHB---Cluster2,0.009221359108745348,0.0008820206826624744,0.01603548935254296,0.01424154908278839,Up
10969,PHB2---Cluster1,0.008164365228640603,0.000878722541655582,0.011459561328955249,0.003177717533049488,Up
10970,PHB2---Cluster2,0.7029928627679152,0.08038727403983348,0.5559925652622398,0.17490449461169988,Down
10971,PHB2---Cluster3,0.015134150658350254,0.002414872665682763,0.023352699106834345,0.005396036722283284,Up
10972,PHC1---Cluster1,0.020250836063203475,0.004796661618152396,0.03771611018091309,0.021506789655364147,Up
10973,PHC1---Cluster2,0.00792252248350584,0.0013016135342773757,0.010040887894354152,0.0047183851530512326,Up
10974,PHC2---Cluster1,0.8387057907678734,0.032448384640610686,0.7820953422100287,0.0760679321148858,Down
10975,PHC2---Cluster2,0.9642826528190376,0.009451454506640831,0.9540421258897542,0.013177812622576996,Down
10976,PHF1---Cluster1,0.02172791448552305,0.0028563461394347568,0.023992196236820185,0.012887522430827756,Up
10977,PHF1---Cluster2,0.009442011075689288,0.000858183741205626,0.015494038116184584,0.0047771372523259074,Up
10978,PHF10---Cluster1,0.012113258195324614,0.0018843960791634668,0.023019580282600816,0.02932200684767875,Up
10979,PHF10---Cluster2,0.007006010780341865,0.0005643234181862407,0.011799786893291584,0.0028588327863132844,Up
10980,PHF12---Cluster1,0.0103049213799232,0.0009368820942014428,0.016032382465909746,0.012544042472288896,Up
10981,PHF12---Cluster2,0.009605077203818093,0.0011245412183826392,0.013698704948767331,0.006895784444450157,Up
10982,PHF13---Cluster1,0.19959202743411095,0.036398499343648055,0.0667376513769753,0.06831753919149366,Down
10983,PHF13---Cluster2,0.04517480282145641,0.010175321184317082,0.056918480701128864,0.034870377105530204,Up
10984,PHF15,0.029810040541816237,0.006140300471005566,0.03740031814297035,0.008429920120631092,Up
10985,PHF16---Cluster1,0.6966826646416338,0.03856056385944777,0.3753894483202877,0.18560518884763685,Down
10986,PHF2---Cluster1,0.0047954040743974575,0.00045074924571401046,0.012254031451009713,0.012061379850391952,Up
10987,PHF2---Cluster2,0.008103905692763685,0.001283347038517823,0.014703986645335815,0.004824084755321462,Up
10988,PHF20,0.8583356831130391,0.020400598259353062,0.814989330409808,0.10965762358592188,Down
10989,PHF20L1,0.01580577833212176,0.001953518941023492,0.018664611055214983,0.0063292882733713895,Up
10990,PHF21A,0.021820369143532685,0.00529617550364107,0.03633902474083648,0.00812554395160373,Up
