['UPF3B' 0.0001096985830835566]
['AMPD1' 0.00010967054653732973]
['FAM49B' 0.00010966781007153717]
['PCOLCE2' 0.00010958857800737609]
['TMUB2' 0.00010954146599630022]
['WFDC6' 0.00010953585963296796]
['LYSMD4' 0.00010945761067608241]
['BLVRB' 0.00010944272899277934]
['DUSP6' 0.00010926453819301231]
['PSTPIP2' 0.00010922921105997033]
['ABCC4' 0.00010917441870225453]
['INTS10' 0.0001091280628364771]
['MT1E' 0.00010909213522312498]
['THEM2' 0.0001090849432072816]
['OLAH' 0.00010902422993531519]
['ILF2' 0.00010893769188734649]
['TARS2' 0.00010886964264439112]
['DDX3X' 0.0001088458958565625]
['POLE3' 0.00010879434751041324]
['RRP1' 0.00010876030452672252]
['HTATSF1' 0.00010863060865205772]
['SLITRK6' 0.00010861268405602269]
['NUPL1' 0.00010857894993157751]
['MXI1' 0.00010857437061059195]
['MBTPS2' 0.00010853480978003436]
['SFT2D1' 0.00010847040057533277]
['EEF1G' 0.00010844021163890841]
['CHIC2' 0.0001084131396194261]
['PALM2' 0.00010840268046312516]
['FBLN1' 0.00010839329186076265]
['PDCD6' 0.00010832309963128808]
['DOCK5' 0.00010806407449935993]
['C4orf29' 0.00010805236568698555]
['HOXC4' 0.00010805215220851909]
['BPGM' 0.00010793978036691961]
['PPP1R15B' 0.00010791651799304422]
['PEO1' 0.00010782011157353643]
['C6orf204' 0.00010780990195052803]
['ERLIN1' 0.0001077918271778086]
['SNF1LK2' 0.00010777683907593606]
['TPD52' 0.0001076788384064597]
['TCP11L1' 0.00010767727071430131]
['RBM10' 0.0001076366935398238]
['DSEL' 0.0001076203501220689]
['PBX3' 0.00010761100225261637]
['TNFAIP8L2' 0.00010761083289297573]
['AP1S2' 0.00010746605033279429]
['LQK1' 0.00010743261232020243]
['CES2' 0.00010733665978257954]
['CDC40' 0.00010730957777743612]
['MLLT1' 0.00010727849088873913]
['KIAA0265' 0.00010727432835196946]
['C7orf55' 0.00010722750942225162]
['SLAIN1' 0.00010722554564111636]
['CNNM2' 0.00010722165722635195]
['ZNRD1' 0.0001071956343752857]
['TRAF2' 0.00010718624283449891]
['EBP' 0.00010716821914925349]
['UTP14C' 0.0001070945567646666]
['ARPC5' 0.00010707322906018983]
['ZNF509' 0.00010703773484298808]
['SYTL5' 0.00010702298333041416]
['OR1C1' 0.00010700754756558548]
['C20orf117' 0.0001069682938691591]
['TPP1' 0.00010696038649758413]
['TIGD4' 0.00010695464406174105]
['ANAPC5' 0.00010690940716972306]
['KCND2' 0.00010688275195492553]
['CLC' 0.0001068480279520782]
['PHKA2' 0.00010684466260038558]
['C6orf156' 0.00010682047619633053]
['CDC27' 0.00010672742610213311]
['PAPD1' 0.00010663526610239739]
['TMEM9B' 0.0001066041490792556]
['MRPL14' 0.00010658330831093836]
['VEPH1' 0.00010658190925474391]
['ZSCAN2' 0.00010655168562308229]
['ADCY5' 0.0001063713855737608]
['VAMP5' 0.00010636881391977333]
['G6PC3' 0.00010632507071417271]
['EIF2B5' 0.0001063189439752031]
['MBD1' 0.00010624516145666834]
['TBCC' 0.00010614522190141493]
['SIX4' 0.00010610613036340554]
['ALDH5A1' 0.000106040956302735]
['IFNA21' 0.0001060179410018439]
['UBA52' 0.00010593569967009884]
['C11orf17' 0.00010593280152900274]
['RFFL' 0.00010582876385397125]
['SCLY' 0.00010574117735703337]
['CLCN3' 0.00010569891850523775]
['C18orf32' 0.00010563051685024021]
['SCO2' 0.00010558694386454768]
['PHACTR1' 0.00010557929386145339]
['KIAA0907' 0.00010554795589696789]
['IL10' 0.00010554240869621194]
['NDUFA6' 0.0001054957731199779]
['VEGFB' 0.00010545138152485319]
['SIGLEC10' 0.00010543988392392919]
['LRPAP1' 0.00010534278474431542]
['CBS' 0.00010516925634307811]
['FBXL21' 0.00010515232142271306]
['SORD' 0.00010514162443995988]
['ENOSF1' 0.00010514124143308334]
['C18orf45' 0.00010509071764460677]
['FLJ11292' 0.00010488251049134034]
