['RRAGA' 0.00024327145519954162]
['DPM1' 0.0002430471920054329]
['UCP2' 0.0002430359329474505]
['LAMA5' 0.00024294826408993486]
['EIF1AY' 0.00024289285554726208]
['TTC16' 0.00024282403735353353]
['IRF8' 0.00024281330791312418]
['INSM1' 0.00024250171152380022]
['WDR23' 0.00024223229872434712]
['CSAG3A' 0.00024211806612891096]
['NDST1' 0.00024187423998454552]
['SPOP' 0.00024175397019924602]
['LIN28' 0.00024129557333000748]
['TRUB1' 0.00024114636356221392]
['HSF5' 0.00024079751954377994]
['ELK3' 0.00024075301131202455]
['TPMT' 0.00024069749016451103]
['KIF4B' 0.00024040962980219813]
['LOC201229' 0.00023955477625893645]
['TTTY11' 0.00023948696783000837]
['MEST' 0.00023927495896163158]
['LOC347273' 0.00023895801152677243]
['ANAPC4' 0.00023871718922471142]
['PHB' 0.00023869839866573792]
['TTC13' 0.0002386257287837019]
['FAM62B' 0.00023855475298961026]
['RARB' 0.00023854742496675214]
['MTMR4' 0.00023835633626787689]
['PIN1L' 0.00023791243709849093]
['GNAI2' 0.00023781407774120462]
['SHANK3' 0.00023667343735323584]
['SLC18A3' 0.0002366682995955814]
['OR9A4' 0.00023660678094632333]
['DNAJC12' 0.000236274096981084]
['TUBA3C' 0.00023584775120450907]
['OR4Q3' 0.00023547894862278483]
['LETM2' 0.00023540017877370935]
['HOXC6' 0.00023505021925706278]
['SUSD2' 0.0002346750705242896]
['BLNK' 0.0002344952873704116]
['CSAD' 0.00023408861125011633]
['ZNF212' 0.00023407964988121616]
['ZNF83' 0.00023384389278715626]
['C21orf49' 0.00023384086536731987]
['ANKZF1' 0.0002337175338145678]
['PSG3' 0.0002331336698130042]
['C17orf39' 0.00023306229111925698]
['TMEM117' 0.0002327032669485269]
['OTUB2' 0.00023266484880308863]
['OR52N2' 0.00023250024746535115]
['ATP2B4' 0.00023243337443739736]
['CWC15' 0.0002324021140885469]
['MAST4' 0.00023237701445702683]
['CH25H' 0.00023227422191935288]
['CRYM' 0.0002322024372568214]
['TMEM171' 0.00023161292035970123]
['SMR3B' 0.00023150768652336798]
['DLG5' 0.00023101568998524835]
['DPP7' 0.0002304047834782942]
['FAM43A' 0.00023008278115160358]
['GOT1L1' 0.0002299819666765716]
['GGNBP1' 0.00022908034720583033]
['PCDH8' 0.00022900876297513592]
['C2orf56' 0.0002288675945570565]
['ANUBL1' 0.00022876240014356618]
['SLC2A3' 0.00022869830812912006]
['E2F1' 0.00022858374452815267]
['COL6A3' 0.00022844695028730145]
['MGC24039' 0.00022826260641294364]
['TSPAN15' 0.00022804564572043135]
['NUP205' 0.0002279322345758869]
['SMURF1' 0.0002277352637315073]
['TOM1L1' 0.00022764879264823562]
['RNF10' 0.0002269244883184743]
['SLAIN2' 0.00022682938524204682]
['CTSH' 0.00022681944448227752]
['CORO6' 0.00022679554784190486]
['LIMK1' 0.00022669694851015437]
['PCTK3' 0.00022602830280133319]
['ZNF326' 0.00022589594233087137]
['KIAA0265' 0.0002258863377374607]
['GSDM1' 0.00022585066177309033]
['FSCN3' 0.00022584605507600716]
['COMMD8' 0.00022541157297484467]
['FUT4' 0.00022530668638949997]
['DDX17' 0.00022519019449756313]
['C1GALT1' 0.0002243223932203991]
['GPR77' 0.00022430343148204004]
['CYorf15A' 0.00022429988354956849]
['RPE' 0.00022429430396491033]
['RXRA' 0.00022426600584244207]
['TULP1' 0.00022416074450378154]
['GMNN' 0.00022407512821397252]
['SLC39A4' 0.00022393655939956063]
['C6orf114' 0.00022348727518447113]
['SLC34A2' 0.00022326565414326278]
['PFDN1' 0.0002231565553802834]
['C9orf37' 0.00022266172954383564]
['RPL19' 0.00022234924925023845]
['RAB1A' 0.0002217466859100057]
['SRD5A2' 0.00022150952315343393]
['R3HDM1' 0.00022115381801230622]
['FAM110C' 0.0002211446649030081]
['PCTK1' 0.00022113006025282857]
['C12orf5' 0.00022111176752995484]
['ZNF10' 0.00022086265672333904]
['PNLIP' 0.00022083298610259494]
['LOC130951' 0.00022079790642581955]
['HIST1H1D' 0.000220531987828317]
['MEMO1' 0.00022042276524914862]
['ZNF592' 0.0002200524362240696]
['PRLH' 0.00022000799488394192]
['OR5M10' 0.00021994996271196268]
['SPRYD3' 0.0002199320538188854]
['DKFZp566H0824' 0.00021988892829653432]
['AKAP6' 0.0002198564519927943]
['SPATA16' 0.00021978596495220978]
['UQCRC2' 0.00021972658901387495]
['ATF3' 0.0002193262362266208]
['PRM2' 0.00021929988354068365]
['VAT1' 0.00021909252948014364]
['C2orf40' 0.0002187682485289678]
['KCNE1L' 0.00021869338358959778]
['NDUFC2' 0.0002175425038147771]
['AKAP9' 0.00021747384696699863]
['MRPL15' 0.00021702543322663293]
['TMEM186' 0.00021695956728286892]
['SLC37A3' 0.00021687753311476254]
['OBFC2A' 0.00021661139037456608]
['FOXR1' 0.00021658974356477076]
['C17orf46' 0.00021652167054158714]
['MLL5' 0.00021627738589786663]
['TOX3' 0.00021612927109817577]
['AIFM3' 0.00021592766541133905]
['PEX11G' 0.0002158530730680029]
['LRIG3' 0.00021577192850426248]
['GABBR2' 0.00021474436890934586]
['LHFPL4' 0.00021464571470543873]
['NT5DC3' 0.00021459144735281552]
['HIST1H3F' 0.00021405420100722747]
['FAM96A' 0.0002139900672261611]
['UNQ6490' 0.00021385619944983602]
['PRPF38A' 0.00021381148859594824]
['APTX' 0.00021353824361632686]
['COMMD4' 0.00021340500647315264]
['GJB3' 0.00021295807444083833]
['TEX13A' 0.0002127375276823077]
['NIPA2' 0.00021271982284154487]
['HTR7P' 0.0002126753241411496]
['FLJ30092' 0.00021163112118782615]
['CCDC131' 0.0002115937737527292]
['INTS12' 0.00021150624775651098]
['MMP19' 0.00021143172703692019]
['ZNF75' 0.00021104578792819798]
['GK3P' 0.00021075964856448739]
['SELE' 0.00021048445763643524]
['ANKRD29' 0.00021048237319403149]
['ACTL7A' 0.0002099304552700703]
['CYP26C1' 0.0002098378500384114]
['COL4A3' 0.0002097759363268694]
['CRTAP' 0.00020973315188101008]
['C14orf142' 0.00020946408394329098]
['GPR135' 0.00020871777308664307]
['FLJ32569' 0.00020865229589223897]
['AKT3' 0.00020854337895696496]
['CYP39A1' 0.00020852061527672295]
['TMEM86B' 0.0002084820263661016]
['SLC22A9' 0.00020838385364252665]
['TAS2R48' 0.00020835493892106671]
['PPY2' 0.0002080698534834984]
['TXNDC9' 0.00020799712830657592]
['GLDN' 0.0002078862424078667]
['LOC134145' 0.00020755194850723894]
['TIMM13' 0.00020753245744012323]
['DHX32' 0.0002074946662166269]
['MYCL1' 0.0002071429452699487]
['IL4' 0.0002071270215700121]
['FYB' 0.00020702602260345586]
['KRT17' 0.00020700064366120877]
['PARD6G' 0.0002068711994208799]
['STATH' 0.000206866984019874]
['NPY5R' 0.000206745916768033]
['TACR3' 0.00020657410634815758]
['MAP9' 0.00020652397467290127]
['KIAA0892' 0.00020651034911659704]
['RASSF5' 0.00020613815311075197]
['OGG1' 0.00020601322248794103]
['GADD45G' 0.00020557346777691612]
['TAC1' 0.00020542658626567528]
['MARK4' 0.0002053324369522674]
['SIX6' 0.0002052673158987008]
['XPA' 0.00020521116819643132]
['PPM1E' 0.00020450780986131927]
['DKFZP434B0335' 0.00020424580870701935]
['MAN2A2' 0.00020372586603280572]
['PCBD1' 0.00020350736470014168]
['KCNG2' 0.00020350263198481853]
['GABARAPL3' 0.00020339219785168175]
['NAT8B' 0.00020320353266481766]
['UTS2' 0.00020307961664115995]
['SLC39A8' 0.00020307817815518525]
['ESRRG' 0.00020264162920147246]
['GLT8D2' 0.0002022627780511389]
['PLOD1' 0.00020218322658625658]
['HELB' 0.00020207266364503522]
['ATP5I' 0.00020203187417329886]
['HERC5' 0.0002015318518596456]
['IRS2' 0.00020124622960514572]
['OR4A16' 0.00020092725565569046]
['MGC102966' 0.00020088741283497366]
['BDP1' 0.00020046759879827834]
['NGFRAP1' 0.00020033744662990605]
['SLIT2' 0.00019963518054140006]
['B4GALT5' 0.0001996200555502677]
['PALB2' 0.00019960423877404118]
['ZNF419' 0.00019960247252358214]
['LCE3E' 0.00019950109628379917]
['LOXHD1' 0.00019944253998953167]
['DKFZP686E2158' 0.00019933246181616878]
['HTRA4' 0.00019925146317309548]
['PPIL3' 0.00019921305830786725]
['THRAP3' 0.000199005772029798]
['RPL38' 0.00019882172147381343]
['ZNF652' 0.00019864917311879305]
['PCMT1' 0.00019829197661863776]
['MAT2A' 0.00019819025940005975]
['PCGF2' 0.00019814298911820607]
['OR52E4' 0.00019810106937647153]
['REST' 0.00019793456605062156]
['NAB2' 0.0001977530448259293]
['CTSF' 0.000197702012460211]
['TMEM39B' 0.00019755033156154388]
['ATN1' 0.00019743960256407857]
['KCNAB1' 0.0001972976455925184]
['GABRB1' 0.00019719380016687348]
['RP11-529I10.4' 0.00019711768972278278]
['MTA3' 0.00019659776193468067]
['GSG1' 0.00019644691660830618]
['ZNF804B' 0.00019638666810447097]
['POP4' 0.00019609472089652125]
['SEMG1' 0.0001957097782586527]
['GJB7' 0.00019570504249670994]
['ZNF503' 0.00019555376195146143]
['TPST1' 0.0001955061330604405]
['PSKH2' 0.00019547594396291328]
['GABRA5' 0.00019543174061395328]
['ROBO3' 0.00019499705487189195]
['CYB5R4' 0.00019413550030514297]
['PRKCI' 0.00019390867370595475]
['C6orf128' 0.00019368993602958176]
['S100A16' 0.00019368920905449733]
['HUS1' 0.00019367786051936777]
['CDK2AP1' 0.00019351242672706093]
['PARP12' 0.00019316471326789918]
['ZCCHC5' 0.00019304662133741825]
['ROPN1' 0.0001929496801266172]
['C20orf107' 0.00019267503080277652]
['NOTCH3' 0.00019257626828020973]
['CNBP' 0.00019252665786298457]
['TEX261' 0.0001924801881517918]
['FAM65A' 0.00019245711783703393]
['LTBP3' 0.00019243773911765025]
['HAS3' 0.00019239857371260475]
['RBX1' 0.00019233953150284995]
['C8orf31' 0.00019231902289131925]
['RDM1' 0.00019193363599173246]
['KCNK13' 0.0001918007589682544]
['FBL' 0.0001914490194146675]
['YKT6' 0.0001912717530356574]
['IMAA' 0.0001911046496082372]
['TCIRG1' 0.00019097108333038798]
['AR' 0.00019094954276956182]
['CLEC11A' 0.00019075705451547794]
['TRY1' 0.00019070164221197394]
['PI4K2B' 0.00019014850051195858]
['MGC21675' 0.0001900538418203798]
['EIF3M' 0.0001900485058446463]
['MUTYH' 0.0001899827721284188]
['BEST3' 0.00018997470498068706]
['OR9G1' 0.00018993972971613889]
['C10orf88' 0.00018980287354021326]
['NSMCE4A' 0.00018955645403334522]
['DHX36' 0.0001895305712138326]
['ZNF133' 0.00018932421457334902]
['NRF1' 0.00018925036449229113]
['OCIAD2' 0.00018924157304058041]
['ZCCHC12' 0.00018901107006671518]
['SPG21' 0.00018869373229514477]
['IL1RAP' 0.00018867452665978366]
['OSGEPL1' 0.00018862844877189935]
['TTC9B' 0.00018856536835530293]
['INHBA' 0.00018856319237147201]
['MRPL50' 0.00018851762806310223]
['EGR1' 0.0001884355421177645]
['NODAL' 0.00018839676053616922]
['ULBP1' 0.00018750404121100665]
['BTG2' 0.0001873619616296393]
['TRIM45' 0.00018729148506813536]
['NELL2' 0.00018728626012316438]
['TP53I11' 0.0001872135556142712]
['IKBKB' 0.00018708337048401385]
['SOX15' 0.0001869858406207655]
['FBXW9' 0.00018694439591072698]
['ZNF281' 0.00018691644915391228]
['KIAA0226' 0.00018662284577074947]
['JARID1A' 0.00018652526633911536]
['ACTN1' 0.0001860888417291708]
['GCH1' 0.00018604159806214827]
['OR5B2' 0.00018585441952214836]
