['FGF6' 0.00016236286151134722]
['WFS1' 0.0001623081681727452]
['SMARCD3' 0.00016224272654834937]
['TNFRSF10A' 0.00016211882129305746]
['VLDLR' 0.00016210462886208544]
['PRKDC' 0.00016199153194319482]
['OFD1' 0.000161917683584428]
['C18orf21' 0.00016184566793878561]
['TBP' 0.0001616714576616949]
['KIAA1505' 0.00016165933879398235]
['RAB33A' 0.00016157612741955941]
['CCAR1' 0.00016137303962525946]
['DEFB114' 0.00016124521295836431]
['ZYX' 0.00016113784376543176]
['FTSJ2' 0.0001611266811252893]
['CYB5R4' 0.00016104565559633009]
['ANKRA2' 0.00016100342245751518]
['C19orf42' 0.00016092928324834094]
['CSNK2B' 0.0001609265465117885]
['GIPC1' 0.00016081475139134575]
['FLJ12529' 0.0001608053051845974]
['SNX4' 0.00016078110248607665]
['SCAND2' 0.00016078033128711242]
['PACS1' 0.00016077783423546927]
['CES2' 0.00016074938670056855]
['APOBEC3H' 0.0001606616720994922]
['LRRC32' 0.00016059767425830927]
['PCTP' 0.0001605924155101507]
['PRRX1' 0.00016056167042578039]
['AIFM1' 0.00016051992477142879]
['STMN1' 0.0001605140704191525]
['PSPC1' 0.00016040645415556543]
['C7orf53' 0.00016036627867403635]
['RGS7' 0.0001601731490664114]
['KCNMB2' 0.0001601515643051791]
['CDC45L' 0.0001601031079970724]
['OBFC2B' 0.00016010213301694974]
['FLJ33360' 0.00016001967757496482]
['LOC388419' 0.00015999631483613923]
['PTX3' 0.00015998059707225193]
['IGF1R' 0.0001599640707160584]
['GPR109A' 0.0001599530528628613]
['TMEM40' 0.00015975555425707205]
['URG4' 0.0001595851487961392]
['TDO2' 0.00015947156060397842]
['STON1' 0.00015945868957917563]
['DDX3X' 0.0001593572408175889]
['NPHS2' 0.00015927977122361483]
['JARID1A' 0.0001592263769321411]
['FLRT3' 0.00015915884643749384]
['WBSCR18' 0.00015914929743918307]
['NUP153' 0.00015913431860705433]
['LRTM1' 0.0001590822441511496]
['EGFLAM' 0.00015903300667665618]
['TEX15' 0.00015895398814726332]
['B3GALNT2' 0.00015890625710466622]
['KCNE3' 0.00015877571318795482]
['GRB14' 0.00015868275240357003]
['MCFD2' 0.00015867503155335546]
['C1orf79' 0.00015864499879909076]
['SHMT2' 0.00015862487799585175]
['CSMD2' 0.00015848934601396224]
['HMP19' 0.00015836972438553758]
['CDC2' 0.00015833922081352276]
['NOD1' 0.00015829676090308592]
['TMEM87B' 0.00015825638298413102]
['CDS1' 0.0001582409276850899]
