['Treatment' 0.047790195664771024]
['TFB2M' 0.00034408362980278546]
['OCC-1' 0.0003438310932423712]
['HLA-DQA2' 0.00034339411929115113]
['CA9' 0.000343031471319035]
['MANBA' 0.00034258275459789954]
['DDX31' 0.00034179326439514213]
['RIG' 0.0003417047603264763]
['DCDC2' 0.00033990640548012675]
['C5orf22' 0.00033987255865314513]
['TRIM37' 0.0003393686753394244]
['OR2H2' 0.0003381911372329971]
['TRIB1' 0.00033800760536485826]
['ERCC6' 0.00033642974398879756]
['WAC' 0.00033570555210056833]
['RAPGEFL1' 0.0003349997047154014]
['TNFSF11' 0.000334938585807835]
['PLXNA3' 0.00033412445734988224]
['PCNXL2' 0.0003321087348089897]
['SLC38A6' 0.0003295365471761198]
['RIC8A' 0.0003294279484654849]
['SKAP1' 0.00032846956596438854]
['TCF20' 0.00032671975794867236]
['DBNDD2' 0.0003256600857846862]
['C15orf29' 0.00032565849386432253]
['AICDA' 0.0003254239712764177]
['TMEM2' 0.0003238065393432641]
['GBGT1' 0.0003237591781989442]
['CCDC15' 0.00032339079028545465]
['MDN1' 0.00032293080836415017]
['MGC32805' 0.0003222760738408202]
['PHYHIPL' 0.000322093627667676]
['INTS4' 0.00032158376595228534]
['HOXC4' 0.00032117256386916864]
['GIMAP1' 0.0003205104658011397]
['PSMAL' 0.00032007329063462534]
['GPR92' 0.0003199109416380417]
['IWS1' 0.00031818259009903384]
['EPHA1' 0.0003170438463910301]
['PTPLAD1' 0.00031618346980447965]
['MLF1' 0.0003147746210638632]
['CCL26' 0.0003128570593201776]
['TBRG1' 0.00031274418551518974]
['FATE1' 0.0003116918251738058]
['ATP5G3' 0.00031120632690059537]
['EIF4E2' 0.0003104852564633874]
['CPT1A' 0.0003104255850216184]
['GLOD4' 0.00030955212077418714]
['C18orf17' 0.00030877000707393723]
['THEM4' 0.00030850099888208915]
['CACNA2D3' 0.00030810396409746614]
['LRFN1' 0.00030748857506607117]
['G3BP1' 0.00030635010928684454]
['EXOC1' 0.00030600848027317976]
['FBL' 0.0003054153522839181]
['CBLN1' 0.0003053953151025736]
['LENEP' 0.0003052790404805606]
['UGT2B15' 0.0003052058760759727]
['SLC13A5' 0.0003041612147931197]
['CSDE1' 0.0003033304778364029]
['C1orf213' 0.00030255150873611153]
['NKRF' 0.0003001434526342873]
['ZCCHC12' 0.0002998463638822031]
['PIGS' 0.00029949633711013316]
['MFSD5' 0.00029846888640426577]
['HYAL2' 0.0002981262019241432]
['KLF9' 0.00029788170515696434]
['SCGB2A2' 0.00029763867475756295]
['CDC23' 0.00029763549291106427]
['DVL2' 0.0002959022805403938]
['PHKA1' 0.0002955165125061981]
['RGS9' 0.0002950950822182138]
